MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No),INTERNAL_Category,INTERNAL_NEEDS_REVIEW,INTERNAL_SOURCES_USED,INTERNAL_ERROR
https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.KDFM404KPS.html,"https://stories.kitchenaid.com/major-appliances/dishwashers/front-controls/p.360%C2%B0-max-jets-third-rack-dishwasher-with-50+-total-wash-jets,-44-dba.kdfm404kps.html",https://www.kitchenaid.com/major-appliances/dishwashers/front-controls/p.pdpv5.44-dba-dishwasher-in-printshield-finish-with-freeflex-third-rack.kdfm404kps.html,,,,,,,,,KDFM404KPS,KDFM404KPS Dishwasher SS,,,,,KitchenAid,KitchenAid,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,KitchenAid® Eco Series KDFM404KPS Dishwasher,,Eco Series Dishwasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,Eco Series,,Model,KDFM404KPS,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,44,dBA,Material,,,Color,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Number of Wash Cycles; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Size; Depth With Door Open; Minimum Height; Maximum Height; Material; Color; Additional Information,"https://stories.kitchenaid.com/major-appliances/dishwashers/front-controls/p.360%C2%B0-max-jets-third-rack-dishwasher-with-50+-total-wash-jets,-44-dba.kdfm404kps.html; https://www.kitchenaid.com/major-appliances/dishwashers/front-controls/p.pdpv5.44-dba-dishwasher-in-printshield-finish-with-freeflex-third-rack.kdfm404kps.html; https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.KDFM404KPS.html",
https://www.frigidaire.com/en/p/kitchen/dishwashers/PDSH4816AF,,,,,,,,,,,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,,,,,Frigidaire,Frigidaire,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"Frigidaire® PDSH4816AF Dishwashers, Built-In Mounting, Stainless Steel, Stainless Steel",,"Dishwashers, Built-In Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Model,PDSH4816AF,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Mounting Type,Built-In,,Plug Type,,,Size,24,in,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series; Number of Wash Cycles; Voltage Rating; Amperage Rating; Plug Type; Depth With Door Open; Minimum Height; Maximum Height; Additional Information,https://www.frigidaire.com/en/p/kitchen/dishwashers/PDSH4816AF,
https://www.geappliances.com/appliance/GE-Profile-ENERGY-STAR-Fingerprint-Resistant-Top-Control-Stainless-Interior-Dishwasher-with-Microban-Antimicrobial-Technology-PDT715SYVFS,,,,,,,,,,,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,,,,,GE Appliances,GE Profile,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"GE Profile® GE Profile PDT715SYVFS Dishwasher, Fingerprint Resistant Stainless",,"GE Profile Dishwasher, Fingerprint Resistant Stainless",,,,,,,,,,,,,,,,,,,,,,,ENERGY STAR,,,,,Series,GE Profile,,Model,PDT715SYVFS,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,44,dBA,Material,,,Color,Fingerprint Resistant Stainless,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Number of Wash Cycles; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Size; Depth With Door Open; Minimum Height; Maximum Height; Material; Additional Information,https://www.geappliances.com/appliance/GE-Profile-ENERGY-STAR-Fingerprint-Resistant-Top-Control-Stainless-Interior-Dishwasher-with-Microban-Antimicrobial-Technology-PDT715SYVFS,
https://www.lg.com/us/dishwashers/lg-ldph5554d-top-control-dishwasher,https://www.lg.com/ca_en/dishwashers/top-control/ldph5554d,https://www.lg.com/us/support/product/lg-LDPH5554D.ABDESNA,,,,,,,,,LDPH5554D,LDPH5554D LG Dishwasher BSS,,,,,LG,LG,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"LG® LDPH5554D Dishwasher, 6-Wash Cycle, NeveRust™ Stainless Steel, Black Stainless",,"Dishwasher, 6-Wash Cycle, NeveRust™ Stainless Steel, Black Stainless",,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Model,LDPH5554D,,Number of Wash Cycles,6,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,24,in,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,46,dB,Material,NeveRust™ Stainless Steel,,Color,Black Stainless,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Depth With Door Open; Minimum Height; Maximum Height; Additional Information,https://www.lg.com/ca_en/dishwashers/top-control/ldph5554d; https://www.lg.com/us/dishwashers/lg-ldph5554d-top-control-dishwasher; https://www.lg.com/us/support/product/lg-LDPH5554D.ABDESNA,
https://www.whirlpool.com/kitchen/dishwasher-and-cleaning/comparison-chart.html,https://producthelp.whirlpool.com/Dishwashers/Product_Info/Dishwasher_Cleaning_and_Care/Using_the_Correct_Type_and_Amount_of_Detergent,https://www.whirlpool.com/services/manuals.html,https://producthelp.whirlpool.com/Dishwashers/Product_Info/Dishwasher_Tips_and_Tricks/Properly_Loading_a_Dishwasher,https://www.whirlpool.com/blog/kitchen/how-to-fix-a-dishwasher.html,,,,,,,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,,,,,,,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,,,Material,,,Color,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,PRODUCT IDENTITY UNCONFIRMED - no retrieved source stated model WDTS7024RZ exactly; sources may describe a similar sibling product; Series; Model; Number of Wash Cycles; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Size; Depth With Door Open; Minimum Height; Maximum Height; Sound Level; Material; Color; Additional Information,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning/comparison-chart.html; https://producthelp.whirlpool.com/Dishwashers/Product_Info/Dishwasher_Cleaning_and_Care/Using_the_Correct_Type_and_Amount_of_Detergent; https://www.whirlpool.com/services/manuals.html; https://producthelp.whirlpool.com/Dishwashers/Product_Info/Dishwasher_Tips_and_Tricks/Properly_Loading_a_Dishwasher; https://www.whirlpool.com/blog/kitchen/how-to-fix-a-dishwasher.html,
https://www.geappliances.com/appliance/GE-Profile-Dishwasher-Double-Drawer-PDD415PYYFS,,,,,,,,,,,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,,,,,GE Appliances,GE Profile,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"GE Profile® GE Profile PDD415PYYFS Dishwasher, Built-In Mounting, 6-Wash Cycle, Fingerprint Resistant Stainless",,"GE Profile Dishwasher, Built-In Mounting, 6-Wash Cycle, Fingerprint Resistant Stainless",,,,,,,,,,,,,,,,,,,,,,,ENERGY STAR,,,,,Series,GE Profile,,Model,PDD415PYYFS,,Number of Wash Cycles,6,,Voltage Rating,,,Amperage Rating,,,Mounting Type,Built-In,,Plug Type,,,Size,24,in,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,45,dBA,Material,,,Color,Fingerprint Resistant Stainless,,Additional Information,Double Drawer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Voltage Rating; Amperage Rating; Plug Type; Depth With Door Open; Minimum Height; Maximum Height; Material,https://www.geappliances.com/appliance/GE-Profile-Dishwasher-Double-Drawer-PDD415PYYFS,
https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.kitchenaid-360%C2%B0-max-jets-third-rack-dishwasher-with-prodry-system-44-dba.kdts424sbe.html,,,,,,,,,,,KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,,,,,KitchenAid,KitchenAid,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"KitchenAid® KDTS424SBE Dishwashers, Black Ore",,"Dishwashers, Black Ore",,,,,,,,,,,,,,,,,,,,,,,Energy Star,,,,,Series,,,Model,KDTS424SBE,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,44,dBA,Material,,,Color,Black Ore,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series; Model; Number of Wash Cycles; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Size; Depth With Door Open; Minimum Height; Maximum Height; Material; Additional Information,https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.kitchenaid-360%C2%B0-max-jets-third-rack-dishwasher-with-prodry-system-44-dba.kdts424sbe.html,
https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.third-level-jet-rack-dishwasher-with-40+-total-wash-jets-41-dba.kdts324sps.html,,,,,,,,,,,KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,,,,,KitchenAid,KitchenAid,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"KitchenAid® KDTS324SPS Dishwashers, Stainless Steel",,"Dishwashers, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Model,KDTS324SPS,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,41,dBA,Material,,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series; Number of Wash Cycles; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Size; Depth With Door Open; Minimum Height; Maximum Height; Material; Additional Information,https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.third-level-jet-rack-dishwasher-with-40+-total-wash-jets-41-dba.kdts324sps.html,
"https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdps624sjp.html?vid=a","https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.kitchenaid-360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdps624sjp.html?frt=35",,,,,,,,,,KDPS624SJP,KDPS624SJP Dishwasher Juniper - Display Only,,,,,KitchenAid,KitchenAid,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"KitchenAid® KDPS624SJP Dishwasher, Juniper",,"Dishwasher, Juniper",,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Model,KDPS624SJP,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,44,dBA,Material,,,Color,Juniper,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series; Model; Number of Wash Cycles; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Size; Depth With Door Open; Minimum Height; Maximum Height; Material; Additional Information,"https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdps624sjp.html?vid=a; https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.kitchenaid-360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdps624sjp.html?frt=35",
"https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdts624sbe.html?vid=a","https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.kitchenaid-360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdts624sbe.html?%3F=",,,,,,,,,,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,,,,,KitchenAid,KitchenAid,,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,,,"KitchenAid® KDTS624SBE Dishwasher, 5-Wash Cycle",,"Dishwasher, 5-Wash Cycle",,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Model,KDTS624SBE,,Number of Wash Cycles,5,,Voltage Rating,,,Amperage Rating,,,Mounting Type,,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,44,dBA,Material,,,Color,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series; Model; Voltage Rating; Amperage Rating; Mounting Type; Plug Type; Size; Depth With Door Open; Minimum Height; Maximum Height; Material; Color; Additional Information,"https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdts624sbe.html?vid=a; https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.kitchenaid-360%C2%B0-max-jets-third-rack-dishwasher-with-advanced-prodry-system,-44-dba.kdts624sbe.html?%3F=",
